1m	0.005e0
2m	0.0016528926e0
3m	0.0029515939e0
4m	0.0040141677e0
5m	0.0053128689e0
6m	0.0061393152e0
7m	0.0077922078e0
8m	0.0090909091e0
9m	0.0099173554e0
10m	0.0113341204e0
11m	0.012514758e0
12m	0.013459268e0
13m	0.0149940968e0
14m	0.0158205431e0
15m	0.0172373081e0
16m	0.0184179457e0
17m	0.0193624557e0
18m	0.021133412e0
19m	0.0236127509e0
20m	0.0263282172e0
21m	0.0363636364e0
22m	0.0545454545e0
23m	0.078866588e0
24m	0.1014167651e0
25m	0.1199527745e0
26m	0.1376623377e0
27m	0.1447461629e0
28m	0.1467532468e0
29m	0.1646989374e0
30m	0.187485242e0
31m	0.2106257379e0
32m	0.247579693e0
33m	0.2851239669e0
34m	0.3250295159e0
35m	0.3367178276e0
36m	0.3105076741e0
37m	0.2787485242e0
38m	0.2510035419e0
39m	0.2285714286e0
40m	0.2118063754e0
41m	0.1391971665e0
42m	0.1053128689e0
43m	0.1095631641e0
44m	0.1332939787e0
45m	0.1693034238e0
46m	0.2044864227e0
47m	0.2433293979e0
48m	0.2965761511e0
49m	0.3504132231e0
50m	0.400472255e0
51m	0.4510035419e0
52m	0.5008264463e0
53m	0.5302243211e0
54m	0.5505312869e0
55m	0.5837072019e0
56m	0.606257379e0
57m	0.6159386068e0
58m	0.6280991736e0
59m	0.6515938607e0
60m	0.6809917355e0
61m	0.7099173554e0
62m	0.7478158205e0
63m	0.7806375443e0
64m	0.8025974026e0
65m	0.8296340024e0
66m	0.8746162928e0
67m	0.9263282172e0
68m	0.9710743802e0
69m	0.9988193625e0
70m	1e0
71m	1e0
72m	1e0
73m	1e0
74m	0.940954043e0
75m	0.8315881326e0
76m	0.7690517743e0
77m	0.7937754508e0
78m	0.859947644e0
79m	0.9344095404e0
80m	1e0
81m	1e0
82m	1e0
83m	1e0
84m	1e0
85m	1e0
86m	1e0
87m	1e0
88m	1e0
89m	1e0
90m	1e0
91m	1e0
92m	1e0
93m	1e0
94m	1e0
95m	1e0
96m	1e0
97m	1e0
98m	0e0
99m	0e0
100m	0e0

